mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__colsample_bytree,param_classifier__learning_rate,param_classifier__max_depth,param_classifier__min_child_weight,param_classifier__n_estimators,param_classifier__objective,param_classifier__subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
3.061201286315918,0.12985684721917568,0.01859936714172363,0.0012002718118779038,0.7,0.015,8,2,500,reg:squarederror,0.9,"{'classifier__colsample_bytree': 0.7, 'classifier__learning_rate': 0.015, 'classifier__max_depth': 8, 'classifier__min_child_weight': 2, 'classifier__n_estimators': 500, 'classifier__objective': 'reg:squarederror', 'classifier__subsample': 0.9}",0.9578494551445479,0.8988073495740787,0.8883203337580351,0.8862355553787169,0.8869895955231356,0.9036404578757029,0.027484040357063047,19
2.9960000038146974,0.06518627078215763,0.023200511932373047,0.0079855943698484,0.7,0.015,8,3,500,reg:squarederror,0.8,"{'classifier__colsample_bytree': 0.7, 'classifier__learning_rate': 0.015, 'classifier__max_depth': 8, 'classifier__min_child_weight': 3, 'classifier__n_estimators': 500, 'classifier__objective': 'reg:squarederror', 'classifier__subsample': 0.8}",0.9549543855085818,0.909020338320937,0.8691728140421249,0.8865613666507624,0.8623791732635838,0.896417615557198,0.03341682948239687,68
2.9701991081237793,0.03471908967073504,0.018000364303588867,0.0020972385222196048,0.7,0.015,8,3,500,reg:squarederror,0.9,"{'classifier__colsample_bytree': 0.7, 'classifier__learning_rate': 0.015, 'classifier__max_depth': 8, 'classifier__min_child_weight': 3, 'classifier__n_estimators': 500, 'classifier__objective': 'reg:squarederror', 'classifier__subsample': 0.9}",0.9544538621696889,0.9027856781202548,0.8799278282402545,0.8885005901002317,0.8823067183928806,0.9015949354046622,0.02759871277536095,32
2.308400535583496,0.2882612103840617,0.01680026054382324,0.0014698534027282116,0.8,0.01,6,1,500,reg:squarederror,0.8,"{'classifier__colsample_bytree': 0.8, 'classifier__learning_rate': 0.01, 'classifier__max_depth': 6, 'classifier__min_child_weight': 1, 'classifier__n_estimators': 500, 'classifier__objective': 'reg:squarederror', 'classifier__subsample': 0.8}",0.9572081044512719,0.9070971837863936,0.8881164597863249,0.8850508561215696,0.8843699326696177,0.9043685073630355,0.02770094722265408,8
1.966200351715088,0.05796693675295757,0.01659979820251465,0.0012000085344415292,0.8,0.01,6,1,500,reg:squarederror,0.9,"{'classifier__colsample_bytree': 0.8, 'classifier__learning_rate': 0.01, 'classifier__max_depth': 6, 'classifier__min_child_weight': 1, 'classifier__n_estimators': 500, 'classifier__objective': 'reg:squarederror', 'classifier__subsample': 0.9}",0.9556185622683757,0.8985621933107415,0.8879630682439383,0.8872348979512135,0.8930122496804848,0.9044781942909508,0.025891638987454037,7
1.8194001197814942,0.050543539825065965,0.016401243209838868,0.0008000982581741138,0.8,0.01,6,2,500,reg:squarederror,0.8,"{'classifier__colsample_bytree': 0.8, 'classifier__learning_rate': 0.01, 'classifier__max_depth': 6, 'classifier__min_child_weight': 2, 'classifier__n_estimators': 500, 'classifier__objective': 'reg:squarederror', 'classifier__subsample': 0.8}",0.9573029849075294,0.9036280208864254,0.8723930598373547,0.8837747837921128,0.8812653082919417,0.8996728315430728,0.0305700797460569,51
2.00479941368103,0.04641659620994484,0.016800594329833985,0.0007483158740195666,0.8,0.01,6,2,500,reg:squarederror,0.9,"{'classifier__colsample_bytree': 0.8, 'classifier__learning_rate': 0.01, 'classifier__max_depth': 6, 'classifier__min_child_weight': 2, 'classifier__n_estimators': 500, 'classifier__objective': 'reg:squarederror', 'classifier__subsample': 0.9}",0.957344755162205,0.8979789207428811,0.8851034429476919,0.8847503146856174,0.8954701456336231,0.9041295158344036,0.027137505764623187,14
1.7870007514953614,0.06975442941301828,0.016399288177490236,0.000490544395049374,0.8,0.01,6,3,500,reg:squarederror,0.8,"{'classifier__colsample_bytree': 0.8, 'classifier__learning_rate': 0.01, 'classifier__max_depth': 6, 'classifier__min_child_weight': 3, 'classifier__n_estimators': 500, 'classifier__objective': 'reg:squarederror', 'classifier__subsample': 0.8}",0.953621781181575,0.900355381625826,0.8699031928735206,0.8852247338402646,0.8838140429631891,0.8985838264968751,0.029159922739016086,61
1.7264004230499268,0.055142021890076706,0.01699972152709961,0.0012649711799926084,0.8,0.01,6,3,500,reg:squarederror,0.9,"{'classifier__colsample_bytree': 0.8, 'classifier__learning_rate': 0.01, 'classifier__max_depth': 6, 'classifier__min_child_weight': 3, 'classifier__n_estimators': 500, 'classifier__objective': 'reg:squarederror', 'classifier__subsample': 0.9}",0.9544625763345665,0.8997748344242205,0.8768662268857857,0.8872226624485386,0.8906564974958369,0.9017965595177897,0.027334292171115132,30
2.216399812698364,0.03741493944508834,0.018000459671020506,0.0016744533327989605,0.8,0.01,7,1,500,reg:squarederror,0.8,"{'classifier__colsample_bytree': 0.8, 'classifier__learning_rate': 0.01, 'classifier__max_depth': 7, 'classifier__min_child_weight': 1, 'classifier__n_estimators': 500, 'classifier__objective': 'reg:squarederror', 'classifier__subsample': 0.8}",0.9574118541678862,0.9059786408534765,0.88514067542337,0.8863022249196151,0.8831031035672375,0.9035872997863171,0.028147664999963646,20
2.426999568939209,0.12053210727763827,0.017000961303710937,0.0015493586513301459,0.8,0.01,7,1,500,reg:squarederror,0.9,"{'classifier__colsample_bytree': 0.8, 'classifier__learning_rate': 0.01, 'classifier__max_depth': 7, 'classifier__min_child_weight': 1, 'classifier__n_estimators': 500, 'classifier__objective': 'reg:squarederror', 'classifier__subsample': 0.9}",0.9563423604603197,0.8982503458622995,0.8837363832189111,0.8884312465649997,0.892321397896277,0.9038163468005613,0.02669083203813865,17
2.044000196456909,0.1333043268079643,0.022600936889648437,0.0070609733395627285,0.8,0.01,7,2,500,reg:squarederror,0.8,"{'classifier__colsample_bytree': 0.8, 'classifier__learning_rate': 0.01, 'classifier__max_depth': 7, 'classifier__min_child_weight': 2, 'classifier__n_estimators': 500, 'classifier__objective': 'reg:squarederror', 'classifier__subsample': 0.8}",0.9580704941673491,0.9032139681051148,0.87167995811946,0.8840793997512679,0.8803054554227789,0.8994698551131941,0.03106274935132243,54
2.0866010189056396,0.07470618234571538,0.0165987491607666,0.0007994416557754612,0.8,0.01,7,2,500,reg:squarederror,0.9,"{'classifier__colsample_bytree': 0.8, 'classifier__learning_rate': 0.01, 'classifier__max_depth': 7, 'classifier__min_child_weight': 2, 'classifier__n_estimators': 500, 'classifier__objective': 'reg:squarederror', 'classifier__subsample': 0.9}",0.9578606271361634,0.8984113631674364,0.8830384987105409,0.8837088523486936,0.8948203924025167,0.9035679467530702,0.02780880102437026,21
1.8590007781982423,0.19008412448762965,0.021199893951416016,0.009906999209757433,0.8,0.01,7,3,500,reg:squarederror,0.8,"{'classifier__colsample_bytree': 0.8, 'classifier__learning_rate': 0.01, 'classifier__max_depth': 7, 'classifier__min_child_weight': 3, 'classifier__n_estimators': 500, 'classifier__objective': 'reg:squarederror', 'classifier__subsample': 0.8}",0.9535747100523139,0.9010508086601304,0.8681051765516505,0.8844166401020733,0.8837666218274075,0.8981827914387152,0.02959218125335733,62
2.02760009765625,0.07176191182960863,0.017199611663818358,0.002134332008062066,0.8,0.01,7,3,500,reg:squarederror,0.9,"{'classifier__colsample_bytree': 0.8, 'classifier__learning_rate': 0.01, 'classifier__max_depth': 7, 'classifier__min_child_weight': 3, 'classifier__n_estimators': 500, 'classifier__objective': 'reg:squarederror', 'classifier__subsample': 0.9}",0.9544834911503968,0.8997709643184179,0.8776510165795782,0.8875096128876785,0.8904203681732386,0.901967090621862,0.027189748854242655,29
3.2941707134246827,0.40366857286344615,0.0218109130859375,0.004618139017258146,0.8,0.01,8,1,500,reg:squarederror,0.8,"{'classifier__colsample_bytree': 0.8, 'classifier__learning_rate': 0.01, 'classifier__max_depth': 8, 'classifier__min_child_weight': 1, 'classifier__n_estimators': 500, 'classifier__objective': 'reg:squarederror', 'classifier__subsample': 0.8}",0.9573455915554496,0.905318651534072,0.8817521141085276,0.8855192142828688,0.8833167194844077,0.902650458193065,0.02864503665585024,25
4.145781183242798,0.3279247731511563,0.019399642944335938,0.0023322368977940324,0.8,0.01,8,1,500,reg:squarederror,0.9,"{'classifier__colsample_bytree': 0.8, 'classifier__learning_rate': 0.01, 'classifier__max_depth': 8, 'classifier__min_child_weight': 1, 'classifier__n_estimators': 500, 'classifier__objective': 'reg:squarederror', 'classifier__subsample': 0.9}",0.9566719986977394,0.8976737295013464,0.8825164369785349,0.8876058632957684,0.890611054740752,0.9030158166428283,0.027273038387255533,22
2.7693169116973877,0.07606597389410025,0.022800588607788087,0.006178214889907232,0.8,0.01,8,2,500,reg:squarederror,0.8,"{'classifier__colsample_bytree': 0.8, 'classifier__learning_rate': 0.01, 'classifier__max_depth': 8, 'classifier__min_child_weight': 2, 'classifier__n_estimators': 500, 'classifier__objective': 'reg:squarederror', 'classifier__subsample': 0.8}",0.9583302579681223,0.903362280720033,0.8713702675085235,0.8841466715743849,0.8807825861796631,0.8995984127901453,0.031155147772008417,52
3.645999813079834,0.6322553393701064,0.0222015380859375,0.0050759729524342025,0.8,0.01,8,2,500,reg:squarederror,0.9,"{'classifier__colsample_bytree': 0.8, 'classifier__learning_rate': 0.01, 'classifier__max_depth': 8, 'classifier__min_child_weight': 2, 'classifier__n_estimators': 500, 'classifier__objective': 'reg:squarederror', 'classifier__subsample': 0.9}",0.9582499132906229,0.8978157143394463,0.880748292696838,0.8839136020886151,0.8936201267817114,0.9028695298394467,0.028378709304145877,23
4.55800609588623,0.5956838928755079,0.022801685333251952,0.003543658022715589,0.8,0.01,8,3,500,reg:squarederror,0.8,"{'classifier__colsample_bytree': 0.8, 'classifier__learning_rate': 0.01, 'classifier__max_depth': 8, 'classifier__min_child_weight': 3, 'classifier__n_estimators': 500, 'classifier__objective': 'reg:squarederror', 'classifier__subsample': 0.8}",0.9535164913718872,0.9010875870580662,0.8666632263842886,0.8841296548830414,0.883150220981264,0.8977094361357094,0.02995358964298264,63
4.068409109115601,0.19736211027055214,0.018199825286865236,0.0011667684236312094,0.8,0.01,8,3,500,reg:squarederror,0.9,"{'classifier__colsample_bytree': 0.8, 'classifier__learning_rate': 0.01, 'classifier__max_depth': 8, 'classifier__min_child_weight': 3, 'classifier__n_estimators': 500, 'classifier__objective': 'reg:squarederror', 'classifier__subsample': 0.9}",0.9543003076035663,0.8999569235765043,0.8757632965560922,0.8868794678835192,0.8902238905893884,0.9014247772418141,0.027544559471997406,33
